,business_id,ambiance_score,atmosphere_score,dessert_score,drinks_score,entertainment_score,experience_score,food_score,food_portion_score,kid_friendly_score,location_score,noise_level_score,price_score,seating_score,service_score,setting_score,space_score,waiting_time_score,Restaurants_good_for_groups_owner_provided,good_for_kids_owner_provided,restaurant_is_expensive_owner_provided,noise_level_owner_provided
253,KSYONgGtrK0nKXfroB-bwg,Positive,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,No mention,No mention,Positive,Negative,Positive,Positive
254,KTlABGqop4Q7FzD7lSkHJQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Negative,No mention
255,KcGCtmMca0EjY_wCv_HN4Q,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,Positive
256,KkXXT-Jnqc4gsQ4TR2YGQA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,Positive,No mention
257,KobS8yqBelXH11gaIhZJSg,No mention,No mention,No mention,Negative,No mention,No mention,Negative,No mention,No mention,No mention,No mention,Negative,No mention,Negative,No mention,No mention,No mention,Positive,Positive,Negative,Positive
258,Ksz_jsyyK3Zjlq_Cz81ZBA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Positive,Negative,Positive
259,L6nIOUwcTGgQKExGHmvTzQ,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Neutral,No mention,Positive,No mention,Negative,Positive,Negative,Positive
260,L7-PPe0fj-6U7qq31vjWnQ,Positive,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,Positive,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention
261,L9CFXQbU79r6PK8Cy9aAgA,No mention,Positive,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
262,LKM0wL3GMsi8NwEdz-_n8w,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
263,LLmN5AZ3_U2U4nm6sY6j2Q,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Negative,Negative
264,LdXB3D3gl3ckxZutLmen1g,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
265,LgSEHsI9DKyeGVGtn61tEg,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Positive,Negative,Positive
266,LlGIlNJE2Nv_PXkH7l4Wmg,No mention,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
267,LtxG9DTXCFpteVkD4SGBlw,No mention,Positive,No mention,No mention,Positive,Positive,Positive,Positive,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,Negative,Negative,Positive
268,LuPK46HMxRYEVTXVbBCR1g,No mention,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,Negative,Negative,Positive
269,MAIfD4kJDCydgoD1l2b_vw,No mention,Positive,No mention,No mention,Positive,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Negative,Negative,Positive
270,MJI-bNIn3QDgiGggm9Wp1w,No mention,Negative,No mention,Negative,No mention,Negative,Neutral,No mention,No mention,No mention,No mention,Negative,No mention,Negative,Negative,No mention,No mention,Positive,Positive,Negative,Positive
271,MX2YGruhd0sMNHZGK7p5-Q,No mention,No mention,Positive,No mention,No mention,Negative,Neutral,Negative,No mention,No mention,No mention,Negative,No mention,Negative,No mention,No mention,Negative,Positive,Positive,Positive,Positive
272,MbzgGsMQpGyVrUJXi_Jw0Q,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
273,MmN1qpG224QxOeq72DpN2g,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
274,MwJsk91FJ73YzzmpVaJihQ,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Positive,Negative,Positive
275,N-CBZKO37y_WSUN7ZMNGkg,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
276,NDwoKO79_T49UEKVDlHd3A,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,No mention,No mention,Negative,Negative,No mention
277,NG3SFWgDgjMMpIJoQoQ3XQ,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention
278,NIQWO-Q_F598XlAvZnFVCA,No mention,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Negative
279,NIqFlHurHm0cj6QXczYbEQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
280,NTLvzcGNm4IUF_yXIwIhvA,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Negative,No mention
281,Na0AbPf1GDkN33FllkOfDQ,No mention,Positive,No mention,No mention,No mention,No mention,Positive,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Positive,No mention,No mention,No mention,Positive,No mention
282,Nh2SVI9NCAS6STOKTrKLzQ,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,Positive
283,NmJX_LZ7ShIZqspI31RVZA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,Negative,Positive
284,NnAfFmqKH3PBeigmuAeFNA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
285,Nq4k3dnfiOMT_UrOL9xO-A,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
286,Nv6ruFQa6AG6g8f-_IxFCw,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention
287,O0kQGkmlllaN7oU6sQyzPA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
288,O2lFAWD2WXXx5EKkzPutWQ,Positive,Positive,No mention,Positive,No mention,No mention,Neutral,No mention,No mention,Positive,No mention,Positive,No mention,Negative,No mention,Positive,Positive,Positive,Positive,Negative,Positive
289,O3jPfTDRn5_1O3ZM_LuxQw,Positive,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,No mention,Positive,No mention,No mention,Negative,Negative,Positive
290,OHG0Lj5xgw5Q3UCQJ_4_jw,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Negative,No mention
291,OJ9DJLWvQV0h-ZU07QEKag,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Negative,No mention,Positive,Positive,No mention,No mention,Negative,No mention
292,OM5beWRkxZSu1TShUC3EDw,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,Neutral,No mention,Negative,Negative,Positive,Positive,Negative,Positive
293,Oeaerj6kDDBRGnUh0wLAvA,No mention,No mention,No mention,No mention,No mention,No mention,Neutral,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
294,OrU9wTeHJSLMwyGqYg4FAA,No mention,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
295,Ow29cE1wS-_LrfN7jEuDPA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Positive,Positive,Negative,Positive
296,OzGk7arJv6FPrWqaYSvyKQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
297,PFEC0Z-5rT7l_DR6cySCOQ,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Negative,No mention
298,PHSda9zEwtFicCICD6TP1A,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,Positive,Positive,Negative,Positive
299,PNVbv2kyUIHeJTDPis2gRg,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Negative,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
300,PR9GKW_tKuQGIAB_aeFPJw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
301,PSjXhO_9XZpxa1kKQuBm0A,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Negative,No mention
302,PT99vOEnfEwfOly9YoWvXg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention
303,PUDTWmMzevJdvsueEmnYqw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive
304,PVo1orQ9R7ZHfg90QACh-w,Positive,Positive,No mention,No mention,No mention,Neutral,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
305,PWWGbkPC_agn-4s1Hv1W5A,Positive,Positive,No mention,No mention,Positive,Positive,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Positive,No mention,No mention,Positive,Negative,Positive
306,P_QAD4_iMgqTaWd5On_n3g,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
307,Pf_7rI6TnV8M_btOBBLg5w,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Negative,No mention,Negative,No mention,Negative,No mention,Negative,No mention,Positive,Positive,Negative,Positive
308,PgtqA056auCp5EbcZMbXPQ,No mention,No mention,Positive,No mention,No mention,Neutral,Positive,Negative,No mention,No mention,No mention,Negative,No mention,Negative,No mention,No mention,No mention,Positive,Negative,Positive,Positive
309,Pjurvl_qc3IEMxW38Kj3tg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Negative,Positive
310,PsO9LleYQJlFc_r-DJxVzg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
311,Q0NVfooo9liiTgElEOVA6g,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
312,QBNATcq7Stx9LxcSq16W7w,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Negative,Negative,Positive
313,QFh-h_OZ5Io-mBk32HN28A,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
314,QLHgjBHBoeIUoEvIPvjHnw,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
315,QNilrbTi8912ye2ztnBMpA,No mention,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,Positive,Negative,No mention
316,QaFbv7aLQBcfT4xMF1_WnQ,Positive,Positive,No mention,No mention,No mention,Negative,Positive,No mention,No mention,Positive,No mention,Positive,Neutral,Positive,Positive,Positive,No mention,Positive,Positive,Negative,Positive
317,Qkg16mN-8QR66gjzg6gMyw,Positive,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
318,R6NxHoRRK5Y4ishGsLrGwA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Negative,Negative,Positive
319,RAsM08lCA-tf6qkPan9NNA,Positive,Positive,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Negative,Negative,No mention
320,RDjtVGc0c04ZIR6em1hCbQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
321,RIXWht1pZG8pe1SJk5hhXw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Positive
322,RNzhLU8zy1L5dBkjRK4xEA,Positive,Positive,No mention,Positive,No mention,Positive,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Negative,Positive,Positive
323,RRGLss4hhvZZuR0N6GQlSw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Negative,Negative,Negative
324,RW3nH6Au6pSCWxJhiGY03Q,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Negative
325,RX3gzXCiKOe2vI7zyB20mg,No mention,Negative,No mention,No mention,No mention,No mention,Neutral,Negative,No mention,Negative,No mention,No mention,Positive,Positive,No mention,Negative,No mention,Positive,Positive,Negative,Positive
326,RXA9eUawmrYkToXhjKHyIQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,Positive,Negative,Positive
327,RdFgbrE_8sf6NImEMopaPQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
328,RiOcLw__HPf_rTOTpYKnHQ,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,No mention
329,Rl42JbSMsmNW3LRjsTMYAg,No mention,Positive,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,No mention,Negative,Negative,Neutral,No mention,No mention,No mention,Positive,Positive,Negative,Negative
330,RsjgvZO_0aLsg9YxvtBwpg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,No mention
331,S3QHy1sshUeZwXOYviVsXQ,No mention,No mention,No mention,No mention,No mention,No mention,Neutral,No mention,No mention,No mention,No mention,Negative,No mention,Positive,No mention,Positive,No mention,Negative,Negative,Positive,Positive
332,SWP5Cck3Hd_g-KWfVkF_IQ,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Positive,Negative,Positive,Positive,Negative,Positive
333,SYHDOHRNAH-2xsw3XB5qbg,Positive,Positive,No mention,No mention,No mention,No mention,Positive,Positive,No mention,Positive,No mention,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
334,SZU9c8V2GuREDN5KgyHFJw,Positive,Positive,No mention,Positive,No mention,No mention,Positive,Positive,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Negative,Negative,Positive,Negative,Positive
335,SeneXbKmhHhPtzyTDPDnvA,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,Negative,Positive,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
336,Slg6Ec2D7vEBRmgVUfwkzQ,Positive,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Negative,No mention,Positive,Positive,No mention,No mention,Positive,Negative,Positive,Positive
337,Slihcg1bmYvw-V_FUFghLg,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Negative,Positive,No mention
338,Sp4HOjXy-LYV_4yy10L3jg,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,No mention
339,Ss6f5v_t5Vddiaz4ZOxL0g,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
340,SsHMgOW3TT48Z7jeV5beqQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,Positive,Positive,Negative,Negative
341,Stx8fUjg_m0-CAcT2NJCNQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Negative,No mention
342,T2otvNcawDSkhykOG2tOLA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,Positive,Negative,Positive
343,T97hE3STgTgpwda75h6p1w,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,Negative,No mention
344,T9I4G6Or3sAbyYmB7c23hw,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,Positive,Negative,Positive
345,TCWnTa69sJ3vGQsdEe3Esw,No mention,Positive,No mention,No mention,No mention,Negative,Positive,No mention,No mention,No mention,No mention,Negative,No mention,Neutral,Positive,Positive,No mention,Positive,Positive,Negative,Positive
346,TI3Rydw47yBMzY1oW2wJUg,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,Positive
347,TUtf4FLtotdQDleYpRIfnw,No mention,Negative,No mention,Positive,No mention,No mention,Positive,Positive,No mention,No mention,No mention,No mention,No mention,Neutral,No mention,No mention,No mention,Positive,Positive,Negative,Positive
348,TVX2a4bVuCE2VUIkiLdZrQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,Negative,Positive,Positive,Negative,Positive
349,TeUEijNG9w8m2fNaE7J1TA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention
350,Tfo88MgUweNHyOMfQ6TYGw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
351,Tpr8CltepNzpRpQC2JM4pQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
352,Tw5tderBUFzj7fRLVZm2Bg,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Negative,Positive
353,TzNk1TcWLZn0JCpO83hBAA,Positive,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Positive,No mention,Positive,Negative,Positive,Positive
354,U2hkeMI-q4cS35QolJYN0A,Negative,Positive,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,Negative,Positive,No mention,Negative,No mention,Positive,Negative,Positive,Positive
355,U3grYFIeu6RgAAQgdriHww,Positive,Positive,No mention,Positive,Positive,Negative,Positive,No mention,No mention,Positive,No mention,Positive,Neutral,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Negative
356,UFpCraqzFBAhtZqmxmiWsA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,Negative,Positive
357,USVks6B2Xkf0WLmLIiXqMA,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Neutral,No mention,Positive,No mention,No mention,No mention,Negative,Negative,Positive,Positive
358,UVF59iJepR3kpuG-1HMiQA,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Negative,No mention
359,Un-UDVOuv1co3TMmGaumxA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Neutral,No mention,No mention,No mention,Positive,Positive,Negative,Positive
360,UuRZpgZsHX7PyykHV3wbZg,Positive,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
361,V2cQOeZwPBmjpln6_p1Ygw,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention
362,VAIOtbsxdNmuhUKkQZFRlA,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,Negative,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
363,VOcGcN0bvGU_nzxbJgR5jQ,No mention,Positive,No mention,No mention,No mention,Positive,Neutral,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
364,VOhZZ_8YhJ1mw8zmuw4k-w,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention
365,VUeRlNoPfxywzNxWHU2Tig,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention
366,VXxZJNSscbm5bpG5ll2rcQ,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
367,VZhRxX3BzU09qK4UlXrN4g,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
368,Vc-hDuD19_eeJ8ULZmLSCw,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
369,VeFfrEZ4iWaecrQg6Eq4cg,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Neutral,No mention,Negative,No mention,Positive,No mention,Positive,Positive,Negative,Positive
370,VgAKmXE8B7J0I_O_R13UKQ,Positive,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,Negative,No mention,Positive,No mention,Neutral,Positive,Positive,Negative,No mention,Positive,Negative,Positive
371,VlmgTNDFBEYzSFUfTesdsw,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Negative,Negative,No mention
372,VqcHpG3ODZ4KHBhbxcL4-Q,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
373,W7gSJz80DywKnPRIGjA2Bw,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
374,W7zCBDLFv13fDzRXJefrrA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Negative,Positive,Negative,No mention
375,WH6JNvJryAn6tTYVrKHktA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention
376,WLYZjUusZ9kwwWvgCLtlCw,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Positive
377,WUGRmrfSzQCyeG6mYAM-vw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Negative
378,WfN-VixjWAbfe8efJEs3yQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Negative,No mention
379,WhTRPUduXy3mRBYlmSmsKw,No mention,Negative,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,No mention,Positive,Negative,Positive
